Size,Original,Experimento 1,Experimento2
32x16,2053,3601,2538
32x16,3252,3470,4995
32x16,5624,3817,2802
32x16,2395,3748,2695
32x16,2411,4248,2648
32x16,2397,3912,2742
32x16,2340,4149,2644
32x16,2010,4080,2689
32x16,2465,4250,2600
32x16,2243,4212,2843
32x16,2425,4237,2971
32x16,2370,4376,2816
32x16,2232,4458,3040
32x16,2223,4343,2796
32x16,2600,4257,3001
32x16,2479,4366,2858
32x16,2167,11772,2857
32x16,2269,11672,2602
32x16,2477,11865,2844
32x16,2326,10683,2869
32x16,2159,11132,2494
32x16,2275,11414,2818
32x16,2471,12055,2992
32x16,2194,7086,2384
32x16,2479,5943,2879
32x16,2159,5370,2661
32x16,2294,4984,2471
32x16,2258,4255,3018
32x16,2332,4194,2978
32x16,2365,3726,2911
32x16,2472,3608,3018
32x16,2358,3455,2649
32x16,2195,3351,2810
32x16,2558,3286,2697
32x16,2031,2792,2865
32x16,2318,2911,2749
32x16,2148,3093,2862
32x16,1866,2965,2719
32x16,2300,2622,3015
32x16,2003,2971,2586
32x16,1890,3024,2497
32x16,1682,2707,2723
32x16,2274,2621,2736
32x16,2148,2324,2207
32x16,2292,2788,2715
32x16,2098,2830,2782
32x16,2423,2822,2606
32x16,2328,2989,2721
32x16,1973,3014,2755
32x16,2036,2723,2735
64x32,5170,9731,7433
64x32,5092,9481,7355
64x32,4874,9560,7173
64x32,5234,9479,8099
64x32,5200,9036,6969
64x32,4718,9698,6981
64x32,5110,9758,6980
64x32,4912,9885,7298
64x32,5009,9925,7732
64x32,5035,9828,7516
64x32,5271,9443,7281
64x32,4872,13173,11550
64x32,4852,9078,7250
64x32,4658,9702,7371
64x32,5462,9001,7371
64x32,5176,9058,7367
64x32,5023,9485,7914
64x32,5078,9205,8051
64x32,4943,9079,8152
64x32,7793,9499,8394
64x32,5051,9092,7944
64x32,5414,8561,8293
64x32,5529,8533,7447
64x32,5164,8228,7972
64x32,4914,8783,8157
64x32,4629,8338,8018
64x32,5078,8696,7385
64x32,5680,8670,7167
64x32,5536,9783,7410
64x32,5499,8436,7024
64x32,5588,8971,9824
64x32,5416,8791,7239
64x32,4758,8682,7857
64x32,5842,8162,7383
64x32,5302,9795,7213
64x32,4886,9683,7381
64x32,9096,8846,7436
64x32,5043,8545,7300
64x32,4845,8274,7355
64x32,5209,9576,6975
64x32,5265,9053,7326
64x32,5124,8458,7533
64x32,5009,8678,7387
64x32,5465,8373,7016
64x32,5108,8886,7087
64x32,4825,9427,7321
64x32,5564,9138,7373
64x32,5390,9431,7073
64x32,5814,8999,7295
64x32,5606,9636,7298
128x64,20909,42212,28042
128x64,21037,42906,29728
128x64,27175,42814,28687
128x64,18505,42653,27445
128x64,18167,41916,27534
128x64,18505,42987,28885
128x64,18958,42864,26702
128x64,22367,42816,27191
128x64,18920,42947,27762
128x64,18754,42854,28704
128x64,19103,42881,28369
128x64,18871,41698,27503
128x64,18889,42661,28088
